     0      4      0
     4      8      3
     8     12      0
    12     16      0
    16     20      0
    20     24      0
    24     28      0
    28     32      0
    32     36      0
    36     40      0
    40     44     10
    44     48     22
    48     52     26
    52     56     27
    56     60     41
    60     64     33
    64     68     36
    68     72     31
    72     76     28
    76     80     19
    80     84     12
    84     88      0
    88     92     11
    92     96      0
    96    100      0
